Kategorie,Podkategorie,Název,Menu_Typ,Cena,Váha,Skladování,Trvanlivost,Alergeny
Dorty,Dětské,Auto,Standard,500,,do +8°C,,"1,3,7,8"
Dorty,Dětské,Auto marcipán,Standard,600,,do +8°C,,"1,3,7,8"
Dorty,Dětské,Beruška,Standard,500,,do +8°C,,"1,3,7,8"
Dorty,Dětské,Medvídek,Standard,550,,do +8°C,,"1,3,7,8"
Dorty,Dětské,Fotbalové hřiště,Standard,600,,do +8°C,,"1,3,7,8"
Dorty,Rolády,Bezé roláda celá 50cm,Standard,280,,do +8°C,,"1,3,5,7"
Dorty,Rolády,Tmavá/ořech/kokos roláda celá 50cm,Standard,250,,do +8°C,,"1,3,5,7"
Dorty,Doplňky,Přízdoba (potah dortu marcipánem),Standard,160,,do +24°C,,"1,6,7,8,12"
Dorty,Doplňky,Přízdoba (poleva tmavá marcipán),Standard,90,,do +8°C,,"1,6,7,8,12"
Zákusky,Dorty krájené,Ananasový terč,Standard,24,100g,do +8°C,24h,
Zákusky,Suché,Bábovičky cukrované,Standard,20,150g,sucho,72h,
Zákusky,Suché,Bábovka s vajčným likérem,Standard,21,80g,sucho,72h,
Zákusky,Šlehačkové,Banán s polevou,Standard,28,150g,do +8°C,24h,
Zákusky,Suché,Bábovka třená,Standard,70,600g,sucho,72h,
Zákusky,Suché,Banánek,Standard,17,70g,sucho,48h,
Zákusky,Velikonoční,Beránek šlehaný,Standard,80,400g,sucho,72h,
Zákusky,Velikonoční,Beránek šlehaný čoko,Standard,85,500g,sucho,72h,
Zákusky,Rolády/Záviny,Bezé roláda,Standard,28,70g,do +8°C,24h,
Zákusky,Suché,Cukrářské piškoty,Standard,22,100g,sucho,1 měsíc,
Zákusky,Vánoční/Sváteční,Cukroví mix 1kg,Standard,480,1kg,sucho,3 týdny,
Zákusky,Vánoční/Sváteční,Cukroví dle druhu,Standard,90-120,250g,sucho,3 týdny,
Zákusky,Dorty krájené,Florida,Standard,24,80g,do +8°C,24h,
Zákusky,Dorty krájené,Harlekýn,Standard,22,50g,do +8°C,24h,
Zákusky,Dorty krájené,Horké maliny,Standard,35,200g,do +8°C,24h,
Zákusky,Suché,Houstičky,Standard,5,30g,sucho,48h,
Zákusky,Šlehačkové,Indián,Standard,17,40g,do +8°C,72h,
Zákusky,Řezy,Jablkový perník,Standard,13,100g,do +8°C,48h,
Zákusky,Dorty krájené,Jadran,Standard,22,70g,do +8°C,24h,
Zákusky,Krémové,Jádrový rohlíček,Standard,17,60g,do +8°C,72h,
Zákusky,Poháry,Jahodový mls,Standard,25,100g,do +8°C,24h,
Zákusky,Poháry,Jahodová pochoutka,Standard,20,100g,do +8°C,24h,
Zákusky,Řezy,Kakaový řez,Standard,17,100g,do +8°C,24h,
Zákusky,Suché,Kokoska,Standard,18,80g,do +8°C,72h,
Zákusky,Suché,Kokosky,Standard,26,100g,sucho,10 dní,
Zákusky,Dorty krájené,Kokosový dort,Standard,22,70g,do +8°C,48h,
Zákusky,Koláče,Koláč moravský kynutý,Standard,21,120g,sucho,24h,
Zákusky,Koláče,Koláč kynutý,Standard,14,100g,sucho,48h,
Zákusky,Koláče,Koláč svatební,Standard,9,15g,sucho,72h,
Zákusky,Řezy,Královský řez,Standard,22,70g,do +8°C,24h,
Zákusky,Trubičky,Kremrole,Standard,16,40g,do +8°C,72h,
Zákusky,Dorty krájené,Krtina,Standard,18,50g,do +8°C,24h,
Zákusky,Dorty krájené,Kuba s banánem,Standard,24,80g,do +8°C,24h,
Zákusky,Suché,Laskonka,Standard,12,30g,do +8°C,48h,
Zákusky,Dorty krájené,Letní dort,Standard,22,80g,do +8°C,24h,
Zákusky,Krémové,Likérová špička,Standard,12,40g,do +8°C,72h,
Zákusky,Suché,Linecká kytička,Standard,12,50g,sucho,7 dní,
Zákusky,Suché,Listové mini taštičky,Standard,8,40g,do +8°C,48h,
Zákusky,Suché,Margaretka,Standard,16,60g,do +8°C,48h,
Zákusky,Suché,Marokánek,Standard,15,50g,sucho,7 dní,
Zákusky,Dorty krájené,Maroko dort,Standard,26,100g,do +8°C,48h,
Zákusky,Dorty krájené,Medovník,Standard,35,90g,do +8°C,72h,
Zákusky,Vánoční/Sváteční,Mini štoly,Standard,85,250g,sucho,14 dní,
Zákusky,Suché,Mrkvánek,Standard,12,40g,do +8°C,48h,
Zákusky,Rolády/Záviny,Ořechová našlehaná roláda,Standard,22,90g,do +8°C,24h,
Zákusky,Krémové,Ořechový koš,Standard,15,50g,do +8°C,48h,
Zákusky,Dorty krájené,Ovo dort kráj.,Standard,22,100g,do +8°C,48h,
Zákusky,Krémové,Ovo koš,Standard,16,50g,do +8°C,48h,
Zákusky,Řezy,Ovo řez,Standard,17,60g,do +8°C,48h,
Zákusky,Dorty krájené,Paříž,Standard,22,70g,do +8°C,24h,
Zákusky,Dorty krájené,Pařížan,Standard,22,70g,do +8°C,24h,
Zákusky,Poháry,Pavlova pohár,Standard,30,70g,do +8°C,24h,
Zákusky,Řezy,Perník na plech,Standard,19,80g,do +8°C,72h,
Zákusky,Suché,Perník Valentin/vánoční/podzimní,Standard,25,100g,sucho,14 dní,
Zákusky,Řezy,Pistáciový miňon,Standard,25,80g,do +8°C,72h,
Zákusky,Suché,Placička,Standard,16,80g,do +8°C,48h,
Zákusky,Krémové,Povidloň,Standard,15,60g,sucho,48h,
Zákusky,Krémové,Pražská koule,Standard,17,60g,do +8°C,72h,
Zákusky,Koláče,Pražský koláč,Standard,17,70g,do +8°C,24h,
Zákusky,Poháry,Pudinkový pohár,Standard,16,150g,do +8°C,24h,
Zákusky,Dorty krájené,Punč,Standard,20,120g,do +8°C,72h,
Zákusky,Krémové,Punčová koule,Standard,13,60g,do +8°C,72h,
Zákusky,Dorty krájené,Rakouský dort,Standard,28,120g,do +8°C,24h,
Zákusky,Šlehačkové,Rakvička,Standard,13,20g,do +8°C,24h,
Zákusky,Rolády/Záviny,Roláda (tmavá kokos ořech),Standard,18,80g,do +8°C,48h,
Zákusky,Rolády/Záviny,Roláda s jogurtem a mandarinkami,Standard,22,80g,do +8°C,24h,
Zákusky,Dorty krájené,Sachr,Standard,18,50g,do +8°C,24h,
Zákusky,Poháry,Smetanové želé,Standard,16,70g,do +8°C,24h,
Zákusky,Suché,Sněhové pusinky,Standard,22,100g,sucho,3 měsíce,
Zákusky,Suché,Sněhovka bílá,Standard,22,100g,sucho,72h,
Zákusky,Suché,Sněhovka máčená,Standard,25,110g,sucho,72h,
Zákusky,Suché,Šáteček a hřeben,Standard,12,60g,sucho,72h,
Zákusky,Suché,Šáteček malý,Standard,8,50g,sucho,72h,
Zákusky,Suché,Šodó chlebíček,Standard,15,50g,do +8°C,24h,
Zákusky,Řezy,Štafetka,Standard,18,70g,do +8°C,48h,
Zákusky,Dorty krájené,Tiramisu,Standard,28,70g,do +8°C,48h,
Zákusky,Poháry,Tiramisu pohár,Standard,30,90g,do +8°C,24h,
Zákusky,Dorty krájené,Tmavý dort,Standard,24,80g,do +8°C,72h,
Zákusky,Krémové,Třený banánek,Standard,14,60g,sucho,48h,
Zákusky,Koláče,Tvarohový koláč,Standard,25,80g,do +8°C,48h,
Zákusky,Větrníky/Věnečky,Věneček,Standard,17,60g,do +8°C,48h,
Zákusky,Větrníky/Věnečky,Věneček s marmeládou,Standard,20,70g,do +8°C,48h,
Zákusky,Větrníky/Věnečky,Větrník,Standard,24,90g,do +8°C,24h,
Zákusky,Rolády/Záviny,Závin,Standard,22,120g,do +8°C,48h,
Zákusky,Řezy,Žloutkový řez,Standard,20,80g,do +8°C,48h,
Zákusky,Suché,Žloutkový šáteček,Standard,16,50g,do +8°C,48h,
Mini zákusky,Krémové,Banánek,Standard,12,30g,do +8°C,48h,
Mini zákusky,Rolády,Tmavá roláda,Standard,12,25g,do +8°C,48h,
Mini zákusky,Krémové,Jádrový rohlíček,Standard,12,30g,do +8°C,72h,
Mini zákusky,Rolády,Kokos roláda,Standard,12,25g,do +8°C,48h,
Mini zákusky,Suché,Kokoska plněná,Standard,12,30g,do +8°C,72h,
Mini zákusky,Suché,Laskonky,Standard,12,30g,do +8°C,48h,
Mini zákusky,Krémové,Likérová špička,Standard,12,40g,do +8°C,72h,
Mini zákusky,Rolády,Ořech roláda,Standard,12,25g,do +8°C,48h,
Mini zákusky,Krémové,Ovo koš,Standard,12,35g,do +8°C,48h,
Mini zákusky,Suché,Placička čoko,Standard,12,20g,do +8°C,48h,
Mini zákusky,Krémové,Povidloň,Standard,12,30g,do +8°C,48h,
Mini zákusky,Řezy,Štafetka,Standard,12,35g,do +8°C,48h,
Mini zákusky,Větrníky/Věnečky,Věneček,Standard,12,30g,do +8°C,48h,
Mini zákusky,Větrníky/Věnečky,Větrník,Standard,12,40g,do +8°C,24h,
